Tỉnh/Thành phố,Tỷ suất,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
Hà Tĩnh,Tỷ suất di cư thuần,1.30,-7.00,0.30,-12.90,-9.70,-6.20,-9.10,-4.10,-4.00,-4.30,-1.70,-3.60,-3.60,-5.60,-5.46,-5.19,-3.36,-3.93,-0.87
Hòa Bình,Tỷ suất nhập cư,3.70,4.00,2.60,3.00,3.80,5.60,2.10,2.70,3.40,1.80,2.50,1.70,1.60,1.60,0.75,2.00,1.49,0.99,3.97
Hòa Bình,Tỷ suất xuất cư,2.90,4.40,3.10,6.30,5.80,7.80,5.80,10.90,8.40,3.40,2.20,2.20,5.30,7.00,12.07,12.35,7.26,9.95,5.65
Hòa Bình,Tỷ suất di cư thuần,0.80,-0.40,-0.60,-3.30,-2.00,-2.20,-3.70,-8.10,-5.00,-1.60,0.30,-0.40,-3.70,-5.40,-11.32,-10.40,-5.77,-8.96,-1.68
Hưng Yên,Tỷ suất nhập cư,6.80,6.70,3.90,5.40,6.50,8.00,7.00,10.90,7.40,3.50,3.90,3.20,3.40,4.50,8.65,3.64,3.49,3.34,6.88
Hưng Yên,Tỷ suất xuất cư,5.80,4.90,5.10,9.40,6.70,6.10,9.60,6.50,5.20,4.60,3.10,1.60,1.80,5.00,4.58,3.70,1.24,1.80,5.16
Hưng Yên,Tỷ suất di cư thuần,1.00,1.80,-1.20,-4.00,-0.20,1.80,-2.60,4.50,2.20,-1.10,0.90,1.60,1.50,-0.50,4.07,-0.07,2.26,1.54,1.73
Hải Dương,Tỷ suất nhập cư,3.10,3.10,4.50,4.30,5.00,7.80,5.60,5.60,4.00,1.40,1.20,1.40,3.80,2.50,2.46,1.01,1.86,1.92,3.36
Hải Dương,Tỷ suất xuất cư,7.30,5.90,5.30,8.60,7.20,5.50,4.80,8.50,5.60,2.40,2.60,2.10,1.50,4.70,2.96,3.03,4.80,2.01,3.86
Hải Dương,Tỷ suất di cư thuần,-4.30,-2.80,-0.80,-4.30,-2.20,2.30,0.80,-2.90,-1.60,-1.00,-1.40,-0.60,2.30,-2.30,-0.50,-2.02,-2.94,-0.10,-0.50
Hải Phòng,Tỷ suất nhập cư,4.10,4.50,3.90,5.60,7.00,7.10,6.00,6.60,4.00,2.90,1.40,2.20,1.60,2.70,2.55,5.93,2.53,2.80,4.67
Hải Phòng,Tỷ suất xuất cư,2.90,2.70,2.10,3.80,3.80,5.00,2.10,4.00,3.40,1.40,1.80,0.80,1.60,2.70,1.49,2.03,1.08,1.34,2.53
Hải Phòng,Tỷ suất di cư thuần,1.30,1.80,1.80,1.80,3.20,2.10,3.90,2.50,0.60,1.40,-0.40,1.40,0.00,0.00,1.06,3.90,1.45,1.46,2.15
Hậu Giang,Tỷ suất nhập cư,2.40,3.30,6.30,3.30,4.00,7.70,7.70,6.70,4.50,1.80,1.30,0.30,2.70,2.30,1.32,1.08,5.80,1.45,1.60
Hậu Giang,Tỷ suất xuất cư,4.00,12.60,10.40,10.80,10.90,5.40,11.60,10.80,18.00,6.10,3.80,8.90,6.40,14.60,25.08,18.81,7.79,9.89,12.89
Hậu Giang,Tỷ suất di cư thuần,-1.60,-9.30,-4.10,-7.50,-6.90,2.30,-3.90,-4.10,-13.50,-4.20,-2.60,-8.60,-3.70,-12.20,-23.76,-17.73,-1.99,-8.43,-11.29
Khánh Hòa,Tỷ suất nhập cư,2.60,2.10,3.50,4.10,3.70,5.00,3.10,3.40,3.50,1.60,1.50,1.40,0.50,1.90,1.05,0.67,0.79,0.30,1.93
Khánh Hòa,Tỷ suất xuất cư,5.30,5.10,3.90,5.60,11.90,8.40,5.50,4.70,7.40,4.90,3.70,0.80,1.30,3.90,2.55,2.69,3.94,1.39,4.53
Khánh Hòa,Tỷ suất di cư thuần,-2.70,-3.00,-0.40,-1.50,-8.20,-3.40,-2.40,-1.20,-3.80,-3.30,-2.20,0.70,-0.90,-1.90,-1.50,-2.02,-3.15,-1.09,-2.60
Kiên Giang,Tỷ suất nhập cư,3.40,4.80,3.30,2.50,5.80,7.30,4.40,4.10,3.00,2.00,1.90,2.10,0.90,2.80,1.34,1.46,2.36,1.15,3.56
Kiên Giang,Tỷ suất xuất cư,3.40,6.10,4.00,9.30,14.50,15.20,8.80,10.80,9.60,9.90,11.00,10.80,6.80,11.30,12.48,16.86,4.48,8.16,9.80
Kiên Giang,Tỷ suất di cư thuần,0.00,-1.30,-0.60,-6.70,-8.70,-7.80,-4.40,-6.70,-6.70,-7.90,-9.10,-8.70,-5.90,-8.50,-11.14,-15.40,-2.12,-7.02,-6.24
Kon Tum,Tỷ suất nhập cư,4.70,4.20,9.50,9.30,6.70,8.80,11.80,13.30,6.70,3.90,1.50,2.50,0.70,2.70,1.01,1.40,0.59,0.54,2.46
Kon Tum,Tỷ suất xuất cư,4.20,5.70,2.40,3.90,4.10,9.80,5.30,5.90,7.60,1.90,6.10,1.10,2.70,4.10,9.27,5.84,2.15,1.48,4.96
Kon Tum,Tỷ suất di cư thuần,0.40,-1.50,7.20,5.40,2.60,-1.00,6.50,7.40,-0.90,2.00,-4.70,1.30,-2.00,-1.40,-8.26,-4.43,-1.56,-0.94,-2.50
Lai Châu,Tỷ suất nhập cư,1.10,4.40,3.90,9.80,3.50,3.50,3.90,5.00,3.80,1.60,1.00,2.00,1.70,2.90,0.94,0.81,0.86,0.91,1.95
Lai Châu,Tỷ suất xuất cư,3.30,4.40,8.10,2.90,2.50,4.10,3.40,4.70,3.80,16.70,16.10,3.10,1.80,2.80,4.47,3.87,5.58,2.24,6.78
Lai Châu,Tỷ suất di cư thuần,-2.20,0.00,-4.20,6.90,1.00,-0.60,0.50,0.30,0.00,-15.10,-15.10,-1.10,-0.10,0.10,-3.53,-3.06,-4.72,-1.32,-4.84
Long An,Tỷ suất nhập cư,2.60,4.60,3.80,5.90,5.50,3.80,4.70,4.70,6.20,4.50,3.80,1.30,2.20,9.50,9.14,8.67,6.13,7.47,9.42
Long An,Tỷ suất xuất cư,6.50,10.20,8.70,9.90,9.00,7.70,7.50,6.80,8.80,6.50,6.30,4.00,7.10,6.00,8.02,6.54,4.42,5.66,4.83
Long An,Tỷ suất di cư thuần,-3.90,-5.60,-5.00,-3.90,-3.50,-3.90,-2.80,-2.10,-2.70,-2.00,-2.50,-2.70,-4.90,3.50,1.12,2.13,1.71,1.81,4.59
Lào Cai,Tỷ suất nhập cư,1.20,1.80,1.40,3.90,3.70,3.40,2.90,4.40,2.00,1.90,1.40,2.60,0.50,2.20,0.82,0.69,0.64,0.47,1.22
Lào Cai,Tỷ suất xuất cư,2.40,6.60,2.30,4.50,3.80,2.40,3.00,5.10,4.10,4.80,3.50,2.70,1.90,3.70,3.26,6.75,6.40,3.34,6.13
Lào Cai,Tỷ suất di cư thuần,-1.20,-4.90,-0.90,-0.60,-0.10,1.00,-0.10,-0.70,-2.00,-2.90,-2.10,-0.20,-1.40,-1.50,-2.44,-6.06,-5.76,-2.87,-4.91
Lâm Đồng,Tỷ suất nhập cư,7.60,6.80,7.10,9.80,8.60,9.20,6.80,8.00,6.00,3.90,2.90,3.50,3.30,3.80,4.44,2.07,1.81,1.82,4.32
Lâm Đồng,Tỷ suất xuất cư,5.50,4.50,12.30,8.40,7.50,8.30,8.90,8.40,9.10,5.30,4.40,2.10,4.00,5.60,6.04,1.99,2.51,2.94,3.93
Lâm Đồng,Tỷ suất di cư thuần,2.10,2.30,-5.30,1.40,1.10,1.00,-2.10,-0.40,-3.10,-1.40,-1.50,1.40,-0.70,-1.80,-1.60,0.09,-0.70,-1.12,0.39
Lạng Sơn,Tỷ suất nhập cư,1.20,1.30,2.50,2.60,3.00,6.20,3.50,6.10,2.00,2.40,1.40,1.30,2.20,1.30,1.69,0.86,1.28,0.98,6.42
Lạng Sơn,Tỷ suất xuất cư,3.00,5.40,5.50,7.30,8.20,8.10,7.80,6.30,7.10,5.30,3.60,4.00,3.00,8.70,13.05,13.77,6.34,15.33,8.50
Lạng Sơn,Tỷ suất di cư thuần,-1.80,-4.00,-3.10,-4.70,-5.20,-1.90,-4.30,-0.20,-5.10,-2.90,-2.10,-2.70,-0.80,-7.30,-11.36,-12.91,-5.06,-14.35,-2.08
Nam Định,Tỷ suất nhập cư,1.90,3.90,0.70,2.20,4.10,6.10,2.30,3.50,4.60,0.60,0.70,1.90,2.40,1.60,1.96,1.04,2.11,2.43,1.97
Nam Định,Tỷ suất xuất cư,6.80,7.10,8.30,12.90,8.40,7.40,7.80,8.40,8.30,3.70,3.90,3.00,5.70,9.30,6.06,9.36,4.65,6.35,7.38
Nam Định,Tỷ suất di cư thuần,-4.90,-3.20,-7.60,-10.60,-4.30,-1.30,-5.50,-4.90,-3.70,-3.00,-3.20,-1.10,-3.30,-7.60,-4.10,-8.33,-2.53,-3.92,-5.42
Nghệ An,Tỷ suất nhập cư,2.70,5.50,2.60,2.10,2.70,4.80,1.00,6.80,19.40,10.10,4.50,8.90,1.30,1.00,0.86,1.38,1.18,0.78,3.81
Nghệ An,Tỷ suất xuất cư,4.50,5.70,4.50,11.40,10.30,11.80,10.50,12.50,10.10,5.40,3.00,2.70,4.90,7.00,10.05,7.57,5.15,4.11,4.51
Nghệ An,Tỷ suất di cư thuần,-1.80,-0.10,-1.90,-9.30,-7.60,-7.00,-9.60,-5.70,9.30,4.70,1.50,6.20,-3.60,-6.10,-9.19,-6.19,-3.97,-3.32,-0.70
